instance_id,instance_path,seed,solver,offline_budget_sec,solver_status,solver_runtime_sec,fallback_used,makespan,tardiness,weighted_objective,schedule_hash,output_path
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,0,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0225537999067456,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed00.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,1,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0258401000173762,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed01.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,2,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.023207599995658,False,519.0,2831.5,802.1500000000001,7329f2b47d0840dd1939326588b4582ef7910c032c94af6bb9930c2254cb5b74,outputs\episodesrandimarte_heldout\incumbents\mk10_seed02.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,3,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0253201000159606,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed03.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,4,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0260619000764564,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed04.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,5,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.02365099999588,False,519.0,2831.5,802.1500000000001,7329f2b47d0840dd1939326588b4582ef7910c032c94af6bb9930c2254cb5b74,outputs\episodesrandimarte_heldout\incumbents\mk10_seed05.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,6,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.022891000029631,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed06.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,7,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.022163200075738,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed07.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,8,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0283365000505,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed08.json
mk10,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk10.fjs,9,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0232810999732465,False,519.0,2832.5,802.25,0d769f609a04532319d501f592f5290de3a92c4b6a0a87192969b1e3f687ece4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed09.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,0,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.016996299964376,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed00.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,1,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0157735000830144,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed01.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,2,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.015238800086081,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed02.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,3,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0149343999801204,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed03.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,4,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.015510000055656,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed04.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,5,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0149670999962837,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed05.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,6,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.015596400015056,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed06.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,7,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.015342599945143,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed07.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,8,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0147942000767216,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed08.json
mk6,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk6.fjs,9,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0164220000151545,False,94.0,243.5,118.35,a3a96ac91c66e1ec0c1e012493c85f98fbd97c3ba8266bf40f867640b494e0d3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed09.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,0,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0114768999628723,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed00.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,1,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0098357000388205,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed01.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,2,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0089565999805927,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed02.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,3,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0121142000425607,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed03.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,4,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0123788999626413,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed04.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,5,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.009063900099136,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed05.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,6,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0118464999832213,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed06.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,7,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.010644100024365,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed07.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,8,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.010134799988009,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed08.json
mk7,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk7.fjs,9,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.009976200060919,False,213.0,1863.5,399.35,9bbe32d71cf17723915b992cf65bf408466db634a604ec8e8848d0a445c92b0f,outputs\episodesrandimarte_heldout\incumbents\mk7_seed09.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,0,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0188263999298215,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed00.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,1,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.017287200083956,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed01.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,2,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0173763999482617,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed02.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,3,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0187637999188155,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed03.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,4,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.017825199989602,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed04.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,5,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.018267699982971,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed05.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,6,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0175654999911785,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed06.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,7,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0178939999314025,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed07.json
mk8,data\raw\fjsp\FJSP-benchmarks-main\1_Brandimarte\BrandimarteMk8.fjs,8,cp_sat_repair_teacher,3.0,CpSolverStatus.FEASIBLE,3.0172703000716865,False,631.0,4813.0,1112.3,62b1c36f75859b94ea1d430b1e814827980f8b50486019e0ed4adf6499f5b7ca,outputs\episodesrandimarte_heldout\incumbents\mk8_seed08.json
