gamma_factor,gamma,test_always_l0_reward,test_policy_reward,test_oracle_reward,capture_fraction,capture_percent,capture_negative_to_positive_threshold_gamma,capture_negative_to_positive_threshold_factor
0.0,0.0,2.5876043242648344e-05,5.640188279335314e-05,0.0003203993672851759,0.10364489688530414,10.364489688530414,,
0.25,0.05,-0.020894332197792433,-0.020857336658686422,-0.02059260135060124,0.12261106032214539,12.261106032214538,,
0.5,0.1,-0.04181454043882749,-0.04178453483049962,-0.04150356646542393,0.09648913058371655,9.648913058371654,,
1.0,0.2,-0.08365495692089765,-0.08362759454245897,-0.08332253239538287,0.08231155146063196,8.231155146063196,,
2.0,0.4,-0.16733578988503794,-0.16733348768485917,-0.1669598508113463,0.006123865115069917,0.6123865115069917,,
4.0,0.8,-0.33469745581331856,-0.3345826862183083,-0.3342148049050043,0.23779007359819768,23.77900735981977,,
