train_seed_parity,test_seed_parity,n_train_events,n_test_events,threshold,train_policy_reward,train_upgrade_rate,test_always_l0_reward,test_policy_reward,test_oracle_reward,policy_minus_l0,oracle_minus_l0,capture_fraction,capture_percent,test_policy_upgrade_rate,gamma_factor,gamma,alpha,beta,baseline_gamma,capture_negative_to_positive_threshold_gamma,capture_negative_to_positive_threshold_factor
0,1,5600,4400,5.061264058317281e-06,7.744569582736602e-05,0.7414285714285714,2.5876043242648344e-05,5.640188279335314e-05,0.0003203993672851759,3.052583955070479e-05,0.0002945233240425276,0.10364489688530414,10.364489688530414,0.745,0.0,0.0,1.0,1.0,0.2,,
0,1,5600,4400,0.000543768904813163,-0.019794305617603612,0.05392857142857143,-0.020894332197792433,-0.020857336658686422,-0.02059260135060124,3.6995539106011305e-05,0.00030173084719119225,0.12261106032214539,12.261106032214538,0.06318181818181819,0.25,0.05,1.0,1.0,0.2,,
0,1,5600,4400,0.0006724286477905016,-0.03964732482986877,0.04607142857142857,-0.04181454043882749,-0.04178453483049962,-0.04150356646542393,3.00056083278738e-05,0.0003109739734035652,0.09648913058371655,9.648913058371654,0.04772727272727273,0.5,0.1,1.0,1.0,0.2,,
0,1,5600,4400,0.0002766202828380408,-0.0793655373761111,0.10125,-0.08365495692089765,-0.08362759454245897,-0.08332253239538287,2.7362378438686163e-05,0.0003324245255147823,0.08231155146063196,8.231155146063196,0.0875,1.0,0.2,1.0,1.0,0.2,,
0,1,5600,4400,0.003741019230074962,-0.15880825732442055,0.007142857142857143,-0.16733578988503794,-0.16733348768485917,-0.1669598508113463,2.302200178772029e-06,0.0003759390736916557,0.006123865115069917,0.6123865115069917,0.005681818181818182,2.0,0.4,1.0,1.0,0.2,,
0,1,5600,4400,-3.671555001533591e-06,-0.3176523304564756,0.8953571428571429,-0.33469745581331856,-0.3345826862183083,-0.3342148049050043,0.00011476959501027784,0.0004826509083142305,0.23779007359819768,23.77900735981977,0.8663636363636363,4.0,0.8,1.0,1.0,0.2,,
