intensity,budget_sec,scale,disturbance,mean_reward_delta,feasible_rate,mean_total_online_latency,mean_solver_runtime,n
L3,1.0,mk8,arrival_only,0.0,0.65,0.43775987249973697,0.3769409725005971,40
L0,2.0,mk8,arrival_only,0.0,1.0,0.07040739500662312,0.01820664251281414,40
L1,2.0,mk8,arrival_only,0.0,1.0,0.07347188750864006,0.020891352501348593,40
L2,2.0,mk8,arrival_only,-0.009999999999990905,1.0,0.07126067000208422,0.019168149994220583,40
L3,2.0,mk8,arrival_only,0.0,0.65,0.7860103399958461,0.7231211850070395,40
L0,5.0,mk8,arrival_only,0.0,1.0,0.06999654250103049,0.017648495000321417,40
L1,5.0,mk8,arrival_only,0.014642857142848697,1.0,0.07283325999451336,0.020838242510217243,40
L2,5.0,mk8,arrival_only,-0.009999999999990905,1.0,0.07234834000119009,0.02034742750111036,40
L3,5.0,mk8,arrival_only,0.0,0.675,1.836882042500656,1.7708797975064954,40
L0,0.25,mk8,breakdown_only,0.0,0.325,0.02993446749751456,0.007942635007202626,40
L1,0.25,mk8,breakdown_only,0.010000000000013642,0.3,0.04871182250208221,0.02618038500077091,40
L2,0.25,mk8,breakdown_only,0.0,0.25,0.05223515500547364,0.02874076000007335,40
L3,0.25,mk8,breakdown_only,0.0,0.1,0.09122631999780424,0.06388555500016083,40
L0,0.5,mk8,breakdown_only,0.0,0.325,0.02986839249788318,0.008029252488631755,40
L1,0.5,mk8,breakdown_only,0.010000000000013642,0.3,0.05184187249687966,0.029491987489745953,40
L2,0.5,mk8,breakdown_only,0.0,0.25,0.07196473748772406,0.048439252507523636,40
L3,0.5,mk8,breakdown_only,0.0,0.1,0.15033260749478358,0.12237538748886437,40
L0,1.0,mk8,breakdown_only,0.0,0.325,0.02972692001494579,0.007407972501823679,40
L1,1.0,mk8,breakdown_only,0.010000000000013642,0.3,0.0665414349961793,0.043869260014616884,40
L2,1.0,mk8,breakdown_only,0.0,0.25,0.11030422749754507,0.08601777500589378,40
L3,1.0,mk8,breakdown_only,0.0,0.125,0.25383648500137496,0.22727397250419018,40
L0,2.0,mk8,breakdown_only,0.0,0.325,0.03015486999647692,0.008102167496690526,40
L1,2.0,mk8,breakdown_only,0.010000000000013642,0.3,0.09155499001208227,0.06858714000845793,40
L2,2.0,mk8,breakdown_only,0.0,0.25,0.185630932499771,0.1608808649936691,40
L3,2.0,mk8,breakdown_only,0.0,0.125,0.45910292749467774,0.43153516500024125,40
L0,5.0,mk8,breakdown_only,0.0,0.325,0.030861782500869593,0.00855107749812305,40
L1,5.0,mk8,breakdown_only,0.010000000000013642,0.3,0.1726490999950329,0.15029108499875293,40
L2,5.0,mk8,breakdown_only,0.0,0.25,0.415068835002603,0.3862519175047055,40
L3,5.0,mk8,breakdown_only,0.0,0.15,1.0423170024878345,1.011623405010323,40
L0,0.25,mk8,mixed,0.0,0.7875,0.05742045124497963,0.014748714998131619,80
L1,0.25,mk8,mixed,0.01732142857142662,0.7625,0.06965567249717423,0.026762317489192354,80
L2,0.25,mk8,mixed,-0.0049999999999954525,0.75,0.07142335875250864,0.027588873749482445,80
L3,0.25,mk8,mixed,0.12000000000000455,0.475,0.13966344250075052,0.08958447250042809,80
L0,0.5,mk8,mixed,0.0,0.7875,0.05795366124948487,0.0156368887561257,80
L1,0.5,mk8,mixed,0.01732142857142662,0.775,0.07229581374849658,0.029328022499976215,80
L2,0.5,mk8,mixed,-0.0049999999999954525,0.75,0.07999666500254535,0.03668630250176648,80
L3,0.5,mk8,mixed,0.12000000000000455,0.475,0.21662318625312765,0.16662418000050822,80
L0,1.0,mk8,mixed,0.0,0.7875,0.05766941499896348,0.015370962501037866,80
L1,1.0,mk8,mixed,0.01732142857142662,0.775,0.07896174499765038,0.03619347999629099,80
L2,1.0,mk8,mixed,-0.0049999999999954525,0.75,0.0988187862560153,0.055562207495677286,80
L3,1.0,mk8,mixed,0.12000000000000455,0.4875,0.36867977874935604,0.31880120125279066,80
L0,2.0,mk8,mixed,0.0,0.7875,0.05711893375555519,0.01489723249542294,80
L1,2.0,mk8,mixed,0.005000000000006821,0.775,0.09123699874180602,0.04826089750131359,80
L2,2.0,mk8,mixed,-0.0049999999999954525,0.75,0.13622224749560702,0.09324649875197792,80
L3,2.0,mk8,mixed,0.12000000000000455,0.5375,0.6565438900026492,0.6061065774978488,80
L0,5.0,mk8,mixed,0.0,0.7875,0.058123561249522025,0.015475496255385223,80
L1,5.0,mk8,mixed,0.01732142857142662,0.775,0.1275972787523642,0.08500041375373257,80
L2,5.0,mk8,mixed,-0.0049999999999954525,0.75,0.2518745337525615,0.20624238375312415,80
L3,5.0,mk8,mixed,0.12000000000000455,0.5375,1.4100831724936143,1.356098794999707,80
L0,0.25,mk9,arrival_only,0.0,1.0,0.11235124499362428,0.022059355006786064,40
L1,0.25,mk9,arrival_only,0.0,1.0,0.11796711750212126,0.028910857494338416,40
L2,0.25,mk9,arrival_only,0.0,1.0,0.11742201499873772,0.02777518250513822,40
L3,0.25,mk9,arrival_only,0.0,0.675,0.2010387024958618,0.10128306000842713,40
L0,0.5,mk9,arrival_only,0.0,1.0,0.1129059549944941,0.02383212999557145,40
L1,0.5,mk9,arrival_only,0.0,1.0,0.11921283000556286,0.02989696999429725,40
L2,0.5,mk9,arrival_only,0.0,1.0,0.11728877750865649,0.028229277493664995,40
L3,0.5,mk9,arrival_only,0.0,0.675,0.28150469999818595,0.1834503899968695,40
L0,1.0,mk9,arrival_only,0.0,1.0,0.11353388499410358,0.023647197501850313,40
L1,1.0,mk9,arrival_only,0.0,1.0,0.12068064498889726,0.03059222999145277,40
L2,1.0,mk9,arrival_only,0.0,1.0,0.11749802250997163,0.02870693500735797,40
L3,1.0,mk9,arrival_only,0.0,0.675,0.4431203600077424,0.3453173174930271,40
L0,2.0,mk9,arrival_only,0.0,1.0,0.11087189499812666,0.022545642507611773,40
L1,2.0,mk9,arrival_only,0.0,1.0,0.11954624999489169,0.03038119249686133,40
L2,2.0,mk9,arrival_only,0.0,1.0,0.11776115249376744,0.028992229999857955,40
L3,2.0,mk9,arrival_only,0.0,0.675,0.7678308499976992,0.6698984175018268,40
L0,5.0,mk9,arrival_only,0.0,1.0,0.11192411499796436,0.023867097499896774,40
L1,5.0,mk9,arrival_only,0.0,1.0,0.11731299999519251,0.02928084250888787,40
L2,5.0,mk9,arrival_only,0.0,1.0,0.11638064500584733,0.028389667489682323,40
L3,5.0,mk9,arrival_only,0.0,0.7,1.7176930124900536,1.6191716499946778,40
L0,0.25,mk9,breakdown_only,0.06092952190564347,0.325,0.04605971500568558,0.009670319993165321,40
L1,0.25,mk9,breakdown_only,0.09066058251170261,0.225,0.08031511499139014,0.04102729499863926,40
L2,0.25,mk9,breakdown_only,0.001179521905646652,0.2,0.08661818499385845,0.047773032489931214,40
L3,0.25,mk9,breakdown_only,0.0,0.0,0.12776038749725557,0.08149074249377009,40
L0,0.5,mk9,breakdown_only,0.06092952190564347,0.325,0.04667086749104783,0.00988441999652423,40
L1,0.5,mk9,breakdown_only,0.09066058251170261,0.225,0.10459485500468872,0.06566434498818126,40
L2,0.5,mk9,breakdown_only,0.001179521905646652,0.2,0.11716688250598964,0.07814242998429108,40
L3,0.5,mk9,breakdown_only,0.0,0.0,0.20793253499432468,0.16274281000369228,40
L0,1.0,mk9,breakdown_only,0.06092952190564347,0.325,0.04585826249385718,0.009250102503574453,40
L1,1.0,mk9,breakdown_only,0.09066058251170261,0.225,0.15412272750982084,0.11523696999938693,40
L2,1.0,mk9,breakdown_only,0.001179521905646652,0.225,0.17739879000291695,0.13884311500878538,40
L3,1.0,mk9,breakdown_only,0.0,0.025,0.3602219399966998,0.31542748749197924,40
L0,2.0,mk9,breakdown_only,0.06092952190564347,0.325,0.04567852999316528,0.00967227750516031,40
L1,2.0,mk9,breakdown_only,0.15166058251170397,0.275,0.21290010001102927,0.17497753250063397,40
L2,2.0,mk9,breakdown_only,0.001179521905646652,0.225,0.2661559899977874,0.2267609300062759,40
L3,2.0,mk9,breakdown_only,0.0,0.025,0.6608859724889043,0.6146657699922798,40
L0,5.0,mk9,breakdown_only,0.06092952190564347,0.325,0.04625362499791663,0.0100554850010667,40
L1,5.0,mk9,breakdown_only,0.15166058251170397,0.325,0.24978136748541147,0.21398737499548587,40
L2,5.0,mk9,breakdown_only,0.001179521905646652,0.225,0.5740313699934632,0.5349746424995828,40
L3,5.0,mk9,breakdown_only,-0.006749999999999545,0.075,1.458053985016886,1.4142154974892036,40
L0,0.25,mk9,mixed,0.03872875504729904,0.85,0.08693590875045629,0.01987214123364538,80
L1,0.25,mk9,mixed,0.008228755047298364,0.7875,0.10912143750174437,0.041200737502367704,80
L2,0.25,mk9,mixed,0.008228755047298364,0.775,0.11167186375096208,0.04313525375910103,80
L3,0.25,mk9,mixed,0.008263994094477312,0.525,0.16926561499858508,0.09343365499662468,80
